  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1    4    0   50.00  20.00     1      2    5      0      4     3    75.00
   2    4    0   40.00  40.00     2      5    5      1      4     3    75.00
   3    6    0   83.33  83.33     5      6    6      0      6     6   100.00
   4    9    0   15.38  22.22     2     13    9      4      9     8    88.89
   5    7    0   33.33  37.50     3      9    8      0      7     7   100.00
   6    1    0   50.00  50.00     1      2    2      0      1     1   100.00
   7    5    0   33.33  28.57     2      6    7      0      5     4    80.00
   8    3    0   50.00  50.00     2      4    4      0      3     3   100.00
   9    7    0   50.00  42.86     3      6    7      0      7     7   100.00
  10    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  11    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  12    9    0   50.00  50.00     5     10   10      2      9     9   100.00
  13    2    0  100.00  50.00     2      2    4      0      2     1    50.00
  14    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  15    4    0   20.00  16.67     1      5    6      0      4     3    75.00
  16    7    0   22.22  33.33     2      9    6      3      7     6    85.71
  17    6    0   33.33  50.00     3      9    6      1      6     6   100.00
  18    9    0   20.00  22.22     2     10    9      0      9     8    88.89
  19    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  20    6    0   33.33  40.00     2      6    5      1      6     6   100.00
  21    5    0   16.67  20.00     1      6    5      2      5     4    80.00
  22    9    0   11.11  16.67     1      9    6      0      9     9   100.00
  23    8    0   57.14  50.00     4      7    8      0      8     8   100.00
  24    5    0   40.00  40.00     2      5    5      0      5     4    80.00
  25    9    0   44.44  40.00     4      9   10      4      9     8    88.89
  26    9    0   30.00  33.33     3     10    9      2      9     9   100.00
  27    3    0   25.00  25.00     1      4    4      0      3     2    66.67
  28    8    0   28.57  25.00     2      7    8      3      8     7    87.50
  29    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  30    7    0   20.00  22.22     2     10    9      2      7     7   100.00
  31    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  32    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  33    7    0   37.50  42.86     3      8    7      0      7     6    85.71
  34    9    0   20.00  25.00     2     10    8      1      9     8    88.89
  35    8    0   33.33  16.67     2      6   12      1      8     7    87.50
  36    4    0   20.00  25.00     1      5    4      0      4     3    75.00
  37    2    0   50.00  33.33     1      2    3      0      2     1    50.00
  38    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  39    2    0   50.00  25.00     1      2    4      0      2     1    50.00
  40    2    0   50.00  50.00     1      2    2      0      2     2   100.00
  41    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  42    8    0   30.00  30.00     3     10   10      2      8     8   100.00
  43    6    0   42.86  50.00     3      7    6      2      6     5    83.33
  44    6    0   57.14  66.67     4      7    6      0      6     6   100.00
  45    7    0   50.00  66.67     4      8    6      1      7     7   100.00
  46    9    0   33.33  30.00     3      9   10      3      9     8    88.89
  47    7    0   57.14  40.00     4      7   10      3      7     7   100.00
  48    2    0  100.00 100.00     2      2    2      0      2     1    50.00
  49    2    0  100.00 100.00     2      2    2      0      2     1    50.00
  50    9    0   25.00  42.86     3     12    7      0      9     8    88.89
  51    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  52    4    0   40.00  50.00     2      5    4      0      4     3    75.00
  53    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  54    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  55    4    0   40.00  40.00     2      5    5      0      4     3    75.00
  56    5    0   40.00  40.00     2      5    5      2      5     4    80.00
  57    3    0   33.33  40.00     2      6    5      0      3     3   100.00
  58    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  59    2    0   33.33  50.00     1      3    2      0      2     1    50.00
  60    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  61    7    0   50.00  66.67     6     12    9      1      7     7   100.00
  62    2    0   25.00  50.00     1      4    2      0      2     1    50.00
  63    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  64    9    0   20.00  22.22     2     10    9      0      9     9   100.00
  65    5    0   33.33  10.00     1      3   10      0      5     4    80.00
  66    4    0   75.00  60.00     3      4    5      1      4     3    75.00
  67    6    0   42.86  33.33     3      7    9      2      6     5    83.33
  68    5    0   20.00  16.67     1      5    6      0      5     4    80.00
  69    5    0   20.00  50.00     1      5    2      0      5     5   100.00
  70    6    0   50.00  42.86     3      6    7      3      6     5    83.33
  71    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  72    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  73    4    0  100.00 100.00     5      5    5      0      4     4   100.00
  74    1    0  100.00 100.00     2      2    2      0      1     1   100.00
  75    7    0   20.00  28.57     2     10    7      2      7     6    85.71
  76    1    0  100.00 100.00     2      2    2      0      1     1   100.00
  77    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  78    5    0   50.00  50.00     3      6    6      2      5     4    80.00
  79    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  80    2    0   50.00  25.00     1      2    4      0      2     1    50.00
  81    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  82    4    0   20.00  25.00     1      5    4      0      4     3    75.00
  83    2    0   50.00  50.00     1      2    2      0      2     2   100.00
  84    6    0   14.29  20.00     1      7    5      0      6     5    83.33
  85    6    0   80.00  40.00     4      5   10      0      6     6   100.00
  86    6    0   20.00  16.67     1      5    6      2      6     6   100.00
  87    6    0   50.00  42.86     3      6    7      2      6     5    83.33
  88    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  89    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  90    6    0   33.33  50.00     3      9    6      0      6     6   100.00
  91    3    0   14.29  50.00     1      7    2      0      3     2    66.67
  92    2    0   50.00  33.33     1      2    3      0      2     1    50.00
  93    3    0   20.00  50.00     1      5    2      0      3     2    66.67
  94    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  95    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  96    6    0   37.50  50.00     3      8    6      3      6     5    83.33
  97    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  98    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  99    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 100    3    0   75.00  60.00     3      4    5      0      3     2    66.67
 101    5    0   50.00  50.00     3      6    6      0      5     4    80.00
 102    3    0   25.00  50.00     1      4    2      0      3     3   100.00
 103    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 104    8    0   37.50  50.00     3      8    6      0      8     7    87.50
 105    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 106    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 107    9    0   18.18  22.22     2     11    9      5      9     8    88.89
 108    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 109    8    0   28.57  20.00     2      7   10      2      8     7    87.50
 110    2    0  100.00  50.00     2      2    4      0      2     1    50.00
 111    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 112    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 113    4    0   50.00  60.00     3      6    5      0      4     3    75.00
 114    7    0   14.29  12.50     1      7    8      4      7     6    85.71
 115    7    0   28.57  25.00     2      7    8      3      7     6    85.71
 116    9    0   15.38  20.00     2     13   10      6      9     8    88.89
 117    6    0   33.33  40.00     2      6    5      0      6     6   100.00
 118    5    0   40.00  40.00     2      5    5      0      5     5   100.00
 119    9    0   33.33  57.14     4     12    7      1      9     9   100.00
 120    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 121    8    0   50.00  30.00     3      6   10      3      8     7    87.50
 122    8    0   62.50  45.45     5      8   11      0      8     7    87.50
 123    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 124    2    0   50.00  33.33     1      2    3      0      2     1    50.00
 125    8    0   50.00  27.27     3      6   11      6      8     7    87.50
 126    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 127    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 128    2    0  100.00 100.00     2      2    2      0      2     1    50.00
 129    6    0   40.00  40.00     2      5    5      0      6     6   100.00
 130    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 131    3    0   75.00  75.00     3      4    4      0      3     2    66.67
 132    6    0   40.00  28.57     2      5    7      0      6     6   100.00
 133    8    0   20.00  16.67     2     10   12      6      8     7    87.50
 134    9    0   18.18  22.22     2     11    9      2      9     8    88.89
 135    3    0   16.67  33.33     1      6    3      0      3     2    66.67
 136    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 137    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 138    9    0   25.00  27.27     3     12   11      0      9     8    88.89
 139    9    0   36.36  23.53     4     11   17      5      9     8    88.89
 140    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 141    2    0   50.00  25.00     1      2    4      0      2     1    50.00
 142    4    0   57.14  80.00     4      7    5      0      4     4   100.00
 143    7    0   57.14  66.67     4      7    6      0      7     7   100.00
 144    5    0   25.00  40.00     2      8    5      2      5     4    80.00
 145    7    0   50.00  42.86     3      6    7      0      7     6    85.71
 146    9    0   50.00  40.00     4      8   10      0      9     9   100.00
 147    4    0   80.00  66.67     4      5    6      0      4     4   100.00
 148    9    0   22.22  33.33     2      9    6      2      9     9   100.00
 149    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 150    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 151    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 152    2    0  100.00  50.00     2      2    4      0      2     1    50.00
 153    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 154    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 155    1    0   50.00  50.00     1      2    2      0      1     1   100.00
 156    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 157    1    0  100.00 100.00     2      2    2      0      1     1   100.00
